ZBTB33_ENCSR541PDV_2	AUC = 0.527
H2AZ_GSM1003546	AUC = 0.527
SMC3_GSM897119	AUC = 0.527
SUMO1_GSM1012775	AUC = 0.527
JUN_GSM1700784	AUC = 0.527
GATA3_GSM825711	AUC = 0.527
ESR1_GSM798434	AUC = 0.527
NR3C1_GSM2735374	AUC = 0.527
GRHL2_GSM2171834	AUC = 0.527
MBD3_GSM2104436	AUC = 0.527
NR3C1_GSM1858618	AUC = 0.527
SMC3_GSM2813837	AUC = 0.527
POLR3D_GSM2544235	AUC = 0.527
MYC_GSM1240821	AUC = 0.527
MAFK_GSM1239594	AUC = 0.527
SMC3_GSM560343	AUC = 0.527
NANOG_GSM2648931	AUC = 0.527
CDCA2_GSM2226138	AUC = 0.527
MYC_GSM2131215	AUC = 0.527
STAT3_GSM2278009	AUC = 0.527
ESR1_GSM1858623	AUC = 0.527
TEAD1_GSM1515742	AUC = 0.526
BRD4_GSM2359448	AUC = 0.526
CTCF_GSM1655735	AUC = 0.526
H2AZ_GSM2257953	AUC = 0.526
E2F2_GSM1208606	AUC = 0.526
AR_GSM1716769	AUC = 0.526
GATA3_GSM986071	AUC = 0.526
RAD21_GSM2297328	AUC = 0.526
GRHL2_GSM2970416	AUC = 0.526
ESR1_GSM2915392	AUC = 0.526
ESR1_GSM1198712	AUC = 0.526
H2AZ_GSM1003579	AUC = 0.526
PR_GSM2112797	AUC = 0.526
E2F1_GSM2046831	AUC = 0.526
H2AFX_GSM1382418	AUC = 0.526
GATA3_GSM720423	AUC = 0.526
HNF4A_GSM1240815	AUC = 0.526
NR3C1_GSM1858619	AUC = 0.526
POU5F1_ENCSR264RJX_2	AUC = 0.526
EP300_ENCSR686BQM_3	AUC = 0.526
USF1_GSM1010836	AUC = 0.526
ERG_GSM927071	AUC = 0.525
ESR1_GSM2915386	AUC = 0.525
POLR3D_GSM2544232	AUC = 0.525
NANOG_GSM456571	AUC = 0.525
MYC_GSM2049318	AUC = 0.525
POU5F1_GSM2648934	AUC = 0.525
FOSL1_GSM1125261	AUC = 0.525
RAD21_GSM2297329	AUC = 0.525
PROX1_GSM1477597	AUC = 0.525
ESR1_GSM2467226	AUC = 0.525
GATA3_GSM1241752	AUC = 0.525
RAD21_GSM1240837	AUC = 0.525
MYC_GSM1242269	AUC = 0.525
SMC1A_GSM2493885	AUC = 0.525
H2AZ_GSM807391	AUC = 0.525
FOXM1_GSM1001005	AUC = 0.525
MAX_GSM2151470	AUC = 0.525
CTCF_GSM2316308	AUC = 0.525
SMAD3_GSM539547	AUC = 0.525
GREB1_GSM1019126	AUC = 0.525
SMC3_GSM2813840	AUC = 0.525
BMI1_GSM2579121	AUC = 0.524
POU5F1_GSM803438	AUC = 0.524
GRHL2_GSM2970418	AUC = 0.524
CTCF_GSM2439226	AUC = 0.524
TRIM25_GSM2098766	AUC = 0.524
ATF4_GSM1697346	AUC = 0.524
GATA3_GSM986074	AUC = 0.524
MECOM_GSM1208740	AUC = 0.524
NR1H2_GSM2042844	AUC = 0.524
ESR1_GSM1198714	AUC = 0.524
GTF2I_GSM1539058	AUC = 0.524
EPAS1_GSM856790	AUC = 0.524
JUND_GSM1010718	AUC = 0.524
NFE2L2_GSM2394418	AUC = 0.524
CTCF_GSM1354439	AUC = 0.524
GRHL2_GSM2970419	AUC = 0.524
CNOT3_GSM1617391	AUC = 0.524
CTCF_GSM2572338	AUC = 0.524
RAD21_GSM1242276	AUC = 0.524
NR3C1_GSM2735376	AUC = 0.524
PR_GSM2112810	AUC = 0.524
SMC3_GSM2813843	AUC = 0.524
CBX2_GSM1319305	AUC = 0.524
RBL2_GSM497494	AUC = 0.524
ZBTB48_GSM2543160	AUC = 0.524
GLIS1_ENCSR482BBZ_2	AUC = 0.524
ZBTB33_ENCSR541PDV_1	AUC = 0.524
POU5F1_GSM545203	AUC = 0.524
MYC_GSM1429416	AUC = 0.523
