H2AZ_GSM2467213	AUC = 0.671
POLR2A_GSM808769	AUC = 0.671
KDM2B_GSM1812039	AUC = 0.671
MED1_GSM1470019	AUC = 0.670
H2AZ_GSM2467215	AUC = 0.670
PHF8_GSM518559	AUC = 0.670
EZH2_GSM717405	AUC = 0.670
PHF8_GSM531964	AUC = 0.670
MAPK1_GSM2257573	AUC = 0.670
ESR1_GSM2125161	AUC = 0.670
REPIN1_GSM714610	AUC = 0.669
ASCL1_GSM1700637	AUC = 0.669
MED1_GSM2212240	AUC = 0.669
GATA1_GSM788367	AUC = 0.669
POLR2A_GSM1267405	AUC = 0.669
CBX8_GSM1383875	AUC = 0.669
EP300_GSM1517552	AUC = 0.669
ASCL1_GSM1499401	AUC = 0.669
KDM2B_GSM2805880	AUC = 0.669
BRD4_GSM1249882	AUC = 0.669
CHD1_GSM2359990	AUC = 0.668
INTS11_GSM2257577	AUC = 0.668
POLR2A_GSM1388123	AUC = 0.668
PHIP_GSM2711379	AUC = 0.668
KLF9_ENCSR125ZYC_1	AUC = 0.668
H2AZ_GSM773474	AUC = 0.668
TRIM28_GSM1467734	AUC = 0.668
ZMYND8_GSM2171413	AUC = 0.668
H2AZ_GSM2702720	AUC = 0.667
H2AZ_GSM2760312	AUC = 0.667
NRF1_GSM1891656	AUC = 0.667
NRF1_GSM1891655	AUC = 0.667
POLR2A_GSM2316355	AUC = 0.667
SMARCA4_GSM1517753	AUC = 0.667
ZNF263_GSM2466508	AUC = 0.667
ESR1_GSM798384	AUC = 0.667
AR_GSM2797126	AUC = 0.666
RBL2_GSM802405	AUC = 0.666
RPE_GSM2865076	AUC = 0.666
RARA_GSM1480739	AUC = 0.666
POLR2A_GSM1405132	AUC = 0.666
POLR2A_GSM1679127	AUC = 0.666
E2F1_GSM699984	AUC = 0.666
POLR2A_GSM2789806	AUC = 0.666
ZFX_GSM2741773	AUC = 0.665
RBBP5_GSM831039	AUC = 0.665
BRD4_GSM2316301	AUC = 0.665
FAM208A_GSM2789809	AUC = 0.665
BRD4_GSM2350453	AUC = 0.665
POLR2A_GSM2218643	AUC = 0.665
SIN3A_ENCSR468LUO_1	AUC = 0.664
POLR2A_GSM1116655	AUC = 0.664
GTF2I_GSM1539060	AUC = 0.664
ZNF468_GSM2466567	AUC = 0.664
ESR1_GSM1003734	AUC = 0.664
IRAK1_GSM2373678	AUC = 0.664
POLR2A_GSM1116656	AUC = 0.664
ERG_GSM353647	AUC = 0.663
WDR5_GSM1493030	AUC = 0.663
TAF3_GSM1065008	AUC = 0.663
ARRB1_GSM1340264	AUC = 0.663
ZMYND8_GSM2322594	AUC = 0.663
RUNX1_GSM2274676	AUC = 0.662
BRD4_GSM1328975	AUC = 0.662
LARP7_GSM1866696	AUC = 0.662
POLR2A_GSM1249896	AUC = 0.662
MITF_GSM1226222	AUC = 0.662
TP53_GSM1294878	AUC = 0.662
MYC_GSM1008619	AUC = 0.662
ORC1_GSM922790	AUC = 0.662
POLR2A_GSM588577	AUC = 0.662
POLR2A_GSM1008649	AUC = 0.662
POLR2A_GSM1116661	AUC = 0.662
MYC_GSM2065882	AUC = 0.662
