NR3C1_ENCSR952GOL_2	AUC = 0.548
REPIN1_GSM1113434	AUC = 0.548
NR4A1_GSM2095923	AUC = 0.548
CEBPD_GSM2394399	AUC = 0.548
EP300_ENCSR561ZRE_1	AUC = 0.548
SUMO1_GSM1012765	AUC = 0.548
CEBPB_ENCSR190VMK_1	AUC = 0.548
STAG1_GSM1234008	AUC = 0.548
HES2_ENCSR425MXK_2	AUC = 0.548
ZNF384_GSM1003602	AUC = 0.548
CTCF_GSM1939276	AUC = 0.548
TAL1_GSM2877116	AUC = 0.547
NR3C1_GSM1607528	AUC = 0.547
CTCF_GSM1239390	AUC = 0.547
EP300_ENCSR124VXG_2	AUC = 0.547
ZBTB48_GSM2543157	AUC = 0.547
ATF3_GSM2151904	AUC = 0.547
MTA2_ENCSR293QAR_2	AUC = 0.547
RELA_GSM486282	AUC = 0.547
STAT3_GSM935557	AUC = 0.547
IKZF1_ENCSR874AFU_2	AUC = 0.547
NIPBL_GSM2443453	AUC = 0.546
REPIN1_GSM1113433	AUC = 0.546
EP300_ENCSR467VXG_1	AUC = 0.546
TAL1_GSM2877108	AUC = 0.546
GTF2I_GSM1539055	AUC = 0.546
TERC_GSM820431	AUC = 0.546
ZNF175_ENCSR103GAK_1	AUC = 0.546
SUMO1_GSM1012766	AUC = 0.546
NR3C1_ENCSR255CTA_1	AUC = 0.546
VDR_GSM558637	AUC = 0.546
TAL1_GSM614004	AUC = 0.546
FOSL2_ENCSR103UVU_2	AUC = 0.546
SPIB_GSM1370293	AUC = 0.546
EBF1_GSM935375	AUC = 0.545
GATA2_GSM935347	AUC = 0.545
TBX21_ENCSR739IHN_1	AUC = 0.545
SMC3_GSM2813837	AUC = 0.545
TP73_GSM501688	AUC = 0.545
LARP7_GSM2332314	AUC = 0.545
NME2_GSM991049	AUC = 0.545
TET2_GSM1863064	AUC = 0.545
TP73_GSM501687	AUC = 0.545
FOS_GSM610336	AUC = 0.545
BRDU_GSM922797	AUC = 0.545
EP300_ENCSR467VXG_3	AUC = 0.545
TET2_GSM1863067	AUC = 0.545
JUN_GSM2394414	AUC = 0.545
CEBPB_GSM2188502	AUC = 0.545
DACOR1_GSM1854427	AUC = 0.544
MYH11_GSM1122323	AUC = 0.544
ERG_GSM1480736	AUC = 0.544
TRIM22_ENCSR835XKS_2	AUC = 0.544
EP300_ENCSR561ZRE_2	AUC = 0.544
VDR_GSM558633	AUC = 0.544
SMC3_GSM897119	AUC = 0.544
FOS_GSM610337	AUC = 0.544
RELA_GSM935478	AUC = 0.544
RAD21_GSM1888556	AUC = 0.543
CEBPB_ENCSR606ZTC_1	AUC = 0.543
RAD21_GSM2486816	AUC = 0.543
TAL1_GSM2877107	AUC = 0.543
PTTG1_ENCSR314BBS_2	AUC = 0.543
CEBPB_ENCSR190VMK_2	AUC = 0.543
RAD21_GSM935332	AUC = 0.543
CREBBP_GSM1443803	AUC = 0.543
SMAD1_GSM722397	AUC = 0.543
NR3C1_ENCSR287FWE_1	AUC = 0.543
EP300_ENCSR841ASB_2	AUC = 0.543
SUMO1_GSM1012764	AUC = 0.542
SUMO1_GSM1012769	AUC = 0.542
NIPBL_GSM2443454	AUC = 0.542
TCF21_GSM1503217	AUC = 0.542
PML_GSM468203	AUC = 0.542
TBX21_GSM776557	AUC = 0.542
BMI1_GSM1138595	AUC = 0.542
EP300_ENCSR124VXG_3	AUC = 0.542
GATA1_GSM2877114	AUC = 0.542
CTCF_GSM1022634	AUC = 0.542
GATA1_GSM2877122	AUC = 0.542
SFPQ_GSM1411215	AUC = 0.542
CEBPB_ENCSR853DWE_3	AUC = 0.541
EED_ENCSR199WXF_2	AUC = 0.541
MED1_GSM1566731	AUC = 0.541
STAT1_GSM1057012	AUC = 0.541
TERC_GSM820438	AUC = 0.541
GATA1_GSM2877113	AUC = 0.541
EP300_ENCSR610RKF_2	AUC = 0.541
ERG_GSM1097879	AUC = 0.541
EP300_ENCSR686BQM_2	AUC = 0.541
NFE2_ENCSR552YGL_1	AUC = 0.541
EP300_ENCSR124VXG_1	AUC = 0.541
FOXO1_GSM2214084	AUC = 0.541
IKZF1_ENCSR874AFU_1	AUC = 0.541
GATA1_GSM722413	AUC = 0.541
