TCF7L1_GSM2065886	AUC = 0.635
MYC_GSM1008619	AUC = 0.635
FEV_GSM1208742	AUC = 0.635
ZBTB48_GSM2543146	AUC = 0.634
RYBP_GSM2805870	AUC = 0.634
SP140_GSM2398967	AUC = 0.634
NFATC3_GSM2574801	AUC = 0.634
JMJD6_GSM1249905	AUC = 0.634
HDAC2_GSM1010825	AUC = 0.634
E2F1_GSM1207910	AUC = 0.634
EZH2_GSM1427074	AUC = 0.634
POLR2A_GSM833286	AUC = 0.634
GATAD2B_ENCSR389BLX_1	AUC = 0.634
PR_GSM2112797	AUC = 0.634
ZBTB7A_GSM1010752	AUC = 0.634
ESR1_GSM1019131	AUC = 0.634
RFX1_GSM1208670	AUC = 0.634
POLR2A_GSM1116656	AUC = 0.634
CTCF_GSM2026780	AUC = 0.634
CTCF_GSM2140683	AUC = 0.634
MYC_GSM2065882	AUC = 0.634
CTCF_GSM1655735	AUC = 0.634
BRD3_GSM1328972	AUC = 0.634
HDAC2_GSM1003447	AUC = 0.634
BRD4_GSM2359443	AUC = 0.634
EP300_GSM1669064	AUC = 0.634
EZH2_GSM1427070	AUC = 0.634
JUND_GSM1010892	AUC = 0.634
MYC_GSM1008620	AUC = 0.634
E2F1_GSM1207916	AUC = 0.634
BRD4_GSM2330577	AUC = 0.634
H2AZ_GSM2467215	AUC = 0.634
TFAP2C_GSM1469998	AUC = 0.634
POLR3D_GSM1906349	AUC = 0.634
KLF1_GSM2026804	AUC = 0.634
RB1_GSM497491	AUC = 0.633
RARA_GSM1469989	AUC = 0.633
TET2_GSM2467009	AUC = 0.633
EZH2_GSM1180129	AUC = 0.633
MYC_GSM1231598	AUC = 0.633
BRD4_GSM1328976	AUC = 0.633
POLR2A_GSM2042899	AUC = 0.633
POLR2A_GSM1065010	AUC = 0.633
GABPA_GSM803424	AUC = 0.633
POLR2A_GSM969566	AUC = 0.633
BRD2_GSM1328969	AUC = 0.633
MYC_GSM935509	AUC = 0.633
H2AZ_GSM2467213	AUC = 0.633
JARID2_GSM1180148	AUC = 0.633
TCF7L2_GSM1099032	AUC = 0.633
SP140_GSM2398965	AUC = 0.633
FAIRE_GSM631502	AUC = 0.633
TAF1_GSM803367	AUC = 0.633
H2AZ_GSM2467214	AUC = 0.633
MED1_GSM1470017	AUC = 0.633
POLR2A_GSM869313	AUC = 0.633
CTCFL_GSM1817668	AUC = 0.632
NRF1_GSM2574812	AUC = 0.632
RB1_GSM497490	AUC = 0.632
H2AZ_GSM937968	AUC = 0.632
CREB3L4_GSM1208721	AUC = 0.632
POLR2A_GSM1116655	AUC = 0.632
