TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZNF786,0.253,4.00E-01,-0.657,0.607,0.602,7.21E-01
NR2F6,-0.569,7.15E-01,0.149,0.595,0.604,7.23E-01
MBD4,-0.015,5.06E-01,-0.194,0.593,0.605,7.25E-01
TEAD4,-1.426,9.23E-01,-0.063,0.641,0.608,7.32E-01
DMC1,-0.519,6.98E-01,0.46,0.561,0.608,7.32E-01
RFX5,-0.12,5.48E-01,-0.849,0.632,0.609,7.33E-01
ZNF589,-0.039,5.15E-01,-0.226,0.593,0.609,7.33E-01
SIRT6,-0.278,6.09E-01,0.1,0.578,0.611,7.37E-01
GTF2A2,-0.352,6.38E-01,0.182,0.573,0.612,7.40E-01
NR2F1,-0.604,7.27E-01,-0.065,0.608,0.612,7.40E-01
IRF5,-0.561,7.13E-01,0.469,0.557,0.613,7.40E-01
MYBL2,-0.032,5.13E-01,-0.283,0.592,0.613,7.42E-01
POLR2H,0.035,4.86E-01,-0.408,0.597,0.614,7.44E-01
HIC1,0.142,4.44E-01,-0.577,0.601,0.616,7.47E-01
CHRM2,-0.844,8.01E-01,-1.658,0.68,0.616,7.47E-01
FOXJ2,-0.117,5.47E-01,-0.298,0.595,0.617,7.49E-01
NFE2L2,-1.856,9.68E-01,-1.009,0.685,0.618,7.51E-01
PRDM14,-0.253,6.00E-01,-0.003,0.58,0.618,7.51E-01
TP53,-3.461,1.00E+00,-0.689,0.687,0.619,7.52E-01
ZNF335,0.317,3.76E-01,-1.056,0.616,0.619,7.52E-01
ZNF518A,0.09,4.64E-01,-0.57,0.6,0.619,7.53E-01
ZNF793,-0.626,7.34E-01,0.376,0.567,0.62,7.55E-01
