TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZNF248,-0.943,8.27E-01,0.276,0.446,0.723,9.04E-01
RBBP5,-1.18,8.81E-01,-1.975,0.539,0.725,9.06E-01
L3MBTL4,-0.337,6.32E-01,-1.305,0.484,0.727,9.09E-01
ZFP28,-1.172,8.80E-01,0.267,0.457,0.729,9.10E-01
SF1,-0.947,8.28E-01,0.207,0.446,0.729,9.11E-01
SP2,-0.918,8.21E-01,-1.679,0.521,0.734,9.15E-01
FEV,-0.449,6.73E-01,-0.962,0.477,0.734,9.15E-01
CDK6,-0.291,6.14E-01,-1.513,0.488,0.734,9.15E-01
BPTF,-0.25,5.99E-01,-1.641,0.49,0.735,9.16E-01
HJURP,-0.738,7.70E-01,-0.208,0.458,0.735,9.17E-01
CCDC101,-0.619,7.32E-01,-0.921,0.487,0.736,9.17E-01
ARNT2,-0.444,6.71E-01,-1.063,0.477,0.736,9.17E-01
E2F4,-1.677,9.53E-01,-1.756,0.538,0.738,9.19E-01
FXR2,-0.524,7.00E-01,-0.753,0.472,0.739,9.20E-01
GPS2,-0.335,6.31E-01,-1.505,0.484,0.741,9.21E-01
ZNF274,-1.509,9.34E-01,0.147,0.475,0.741,9.21E-01
TAF1,-1.244,8.93E-01,-1.778,0.527,0.743,9.24E-01
FXR1,-0.464,6.79E-01,-1.141,0.476,0.743,9.24E-01
PITX3,-0.664,7.47E-01,-0.472,0.463,0.744,9.24E-01
TGIF2,-0.454,6.75E-01,-1.552,0.494,0.745,9.26E-01
SIX5,-1.83,9.66E-01,-1.562,0.531,0.747,9.27E-01
ZNF611,-0.451,6.74E-01,-1.262,0.477,0.747,9.27E-01
DIDO1,-0.705,7.60E-01,-0.85,0.479,0.748,9.28E-01
APOBEC3B,-0.642,7.40E-01,-0.662,0.465,0.75,9.30E-01
ELL2,-2.336,9.90E-01,-1.661,0.536,0.752,9.31E-01
KAT7,-0.317,6.24E-01,-1.763,0.485,0.752,9.31E-01
ZNF610,-0.585,7.21E-01,-1.834,0.508,0.753,9.32E-01
KDM4C,-0.302,6.19E-01,-1.834,0.487,0.755,9.34E-01
PAX6,-1.283,9.00E-01,-0.672,0.49,0.759,9.37E-01
ZNF586,-1.26,8.96E-01,0.162,0.426,0.76,9.38E-01
ESRRA,-1.083,8.61E-01,-2.165,0.526,0.76,9.38E-01
ETS1,-3.034,9.99E-01,-1.868,0.542,0.761,9.38E-01
GABP,-0.626,7.34E-01,-1.498,0.494,0.761,9.38E-01
ASXL1,-0.322,6.26E-01,-1.881,0.485,0.761,9.39E-01
UBTF,-1.266,8.97E-01,-2.276,0.532,0.762,9.39E-01
NOTCH3,-1.228,8.90E-01,0.094,0.43,0.762,9.39E-01
USP49,-1.2,8.85E-01,0.081,0.432,0.762,9.39E-01
HEY1,-0.504,6.93E-01,-1.654,0.489,0.763,9.40E-01
TFDP1,-1.178,8.81E-01,-1.37,0.505,0.765,9.42E-01
CD59,-0.644,7.40E-01,-0.926,0.465,0.767,9.43E-01
KDM4B,-0.753,7.74E-01,-1.395,0.488,0.768,9.44E-01
NR2C2,-2.431,9.93E-01,-1.475,0.526,0.77,9.45E-01
SAP30,-1.192,8.83E-01,-1.691,0.514,0.77,9.46E-01
SIX1,-1.15,8.75E-01,-0.696,0.476,0.771,9.46E-01
CBFA2T2,-0.706,7.60E-01,-0.854,0.46,0.772,9.47E-01
THAP11,-0.501,6.92E-01,-1.463,0.474,0.772,9.47E-01
NKX3-1,-1.451,9.27E-01,-0.15,0.458,0.773,9.48E-01
ZNF136,-1.276,8.99E-01,-0.009,0.425,0.774,9.48E-01
ZNF687,-0.755,7.75E-01,-1.064,0.472,0.774,9.48E-01
KAT8,-1.291,9.02E-01,-1.32,0.503,0.774,9.48E-01
PPARGC1A,-0.652,7.43E-01,-1.103,0.464,0.775,9.49E-01
ZNF189,-0.348,6.36E-01,-1.992,0.483,0.776,9.49E-01
