TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
EBNA2,1.167,1.22E-01,1.854,0.489,0.193,3.24E-02
PAX3,0.996,1.60E-01,2.159,0.483,0.194,3.31E-02
DEK,0.931,1.76E-01,1.111,0.52,0.2,3.61E-02
ZBED1,1.434,7.58E-02,1.304,0.493,0.201,3.65E-02
ZNF133,0.821,2.06E-01,2.506,0.476,0.201,3.65E-02
ZNF485,0.874,1.91E-01,2.27,0.478,0.201,3.67E-02
ZNF22,0.88,1.89E-01,2.232,0.478,0.202,3.73E-02
MYB,1.524,6.38E-02,0.825,0.507,0.203,3.75E-02
AFF1,1.412,7.90E-02,0.709,0.517,0.203,3.79E-02
JUNB,0.697,2.43E-01,0.884,0.548,0.204,3.81E-02
NEUROG2,2.11,1.74E-02,1.324,0.477,0.204,3.83E-02
DDX20,1.052,1.47E-01,1.278,0.501,0.204,3.83E-02
PAX5,1.877,3.02E-02,1.16,0.487,0.207,4.00E-02
PR,0.375,3.54E-01,1.191,0.55,0.208,4.04E-02
NR0B1,1.44,7.49E-02,0.769,0.509,0.208,4.04E-02
RARA,0.517,3.03E-01,1.098,0.544,0.208,4.08E-02
HMBOX1,0.907,1.82E-01,2.074,0.479,0.209,4.10E-02
CBX5,0.795,2.13E-01,1.589,0.497,0.209,4.12E-02
STAT5B,1.517,6.46E-02,0.697,0.507,0.21,4.14E-02
NR2F1,1.205,1.14E-01,1.844,0.478,0.21,4.16E-02
HDAC4,1.156,1.24E-01,1.491,0.489,0.211,4.21E-02
CREBBP,0.435,3.32E-01,0.782,0.592,0.211,4.25E-02
MYH11,1.685,4.60E-02,0.758,0.497,0.212,4.29E-02
ZNF654,1.452,7.32E-02,1.361,0.484,0.213,4.34E-02
BRD9,0.937,1.74E-01,0.98,0.513,0.213,4.36E-02
PGBD3,1.141,1.27E-01,1.479,0.488,0.214,4.40E-02
TP63,1.733,4.15E-02,1.033,0.488,0.215,4.47E-02
PBX3,0.797,2.13E-01,1.207,0.509,0.215,4.49E-02
SIRT6,0.915,1.80E-01,1.918,0.48,0.216,4.56E-02
DMC1,0.831,2.03E-01,2.106,0.476,0.218,4.65E-02
SUMO2,0.748,2.27E-01,1.772,0.488,0.22,4.82E-02
ZNF783,1.488,6.84E-02,0.306,0.515,0.221,4.84E-02
ZFP28,0.984,1.63E-01,2.086,0.472,0.221,4.86E-02
MYOG,0.572,2.84E-01,1.561,0.498,0.222,4.91E-02
HIRA,0.954,1.70E-01,1.409,0.489,0.223,4.96E-02
ZFP57,1.085,1.39E-01,1.528,0.481,0.224,5.03E-02
KDM6B,1.186,1.18E-01,1.172,0.49,0.226,5.18E-02
SMARCE1,0.838,2.01E-01,1.904,0.477,0.227,5.28E-02
TLX1,0.953,1.70E-01,1.59,0.481,0.227,5.28E-02
SATB1,0.545,2.93E-01,2.126,0.48,0.228,5.30E-02
NFE2L1,0.555,2.90E-01,1.305,0.503,0.228,5.35E-02
PITX3,0.792,2.14E-01,2.07,0.475,0.229,5.38E-02
BANF1,1.062,1.44E-01,1.267,0.487,0.229,5.40E-02
NFKB2,1.159,1.23E-01,1.515,0.476,0.23,5.45E-02
KDM2B,2.773,2.78E-03,-0.42,0.514,0.233,5.69E-02
PMEL,1.027,1.52E-01,0.563,0.51,0.233,5.71E-02
PRMT1,1.141,1.27E-01,1.433,0.477,0.234,5.77E-02
KLF16,0.989,1.61E-01,1.483,0.478,0.235,5.85E-02
E2F7,0.907,1.82E-01,0.558,0.512,0.236,5.90E-02
REPIN1,0.45,3.27E-01,1.162,0.512,0.236,5.93E-02
NEUROD1,0.701,2.42E-01,1.407,0.491,0.237,5.96E-02
STAT5,0.278,3.90E-01,0.543,0.566,0.238,6.09E-02
SRCAP,0.649,2.58E-01,2.15,0.469,0.242,6.34E-02
