TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
FLI1,-1.817,9.65E-01,-1.31,0.767,0.545,6.00E-01
TAF7,-0.835,7.98E-01,-1.122,0.605,0.545,6.00E-01
CHAMP1,-0.44,6.70E-01,-0.695,0.559,0.547,6.06E-01
ZNF547,-0.721,7.65E-01,-1.164,0.6,0.548,6.07E-01
HOXA2,-0.15,5.60E-01,-0.942,0.564,0.548,6.07E-01
RUNX1T1,-1.485,9.31E-01,-0.663,0.6,0.548,6.07E-01
RXRA,-1.349,9.11E-01,-0.714,0.598,0.55,6.11E-01
ZNF792,-0.253,6.00E-01,-0.974,0.568,0.55,6.11E-01
ELF3,-0.535,7.04E-01,-0.612,0.557,0.55,6.12E-01
SMAD1,-2.545,9.95E-01,-0.878,0.68,0.551,6.13E-01
RBP2,-0.231,5.92E-01,-0.872,0.561,0.552,6.15E-01
SF1,-0.904,8.17E-01,0.264,0.529,0.552,6.15E-01
GTF2E2,-0.261,6.03E-01,-0.866,0.56,0.554,6.21E-01
KDM3A,-0.402,6.56E-01,-1.07,0.577,0.555,6.22E-01
NR3C1,-7.839,1.00E+00,-0.557,0.649,0.556,6.25E-01
CLOCK,-0.95,8.29E-01,-0.122,0.543,0.556,6.25E-01
RELB,-0.979,8.36E-01,-0.424,0.559,0.559,6.32E-01
NR4A1,-1.087,8.62E-01,-0.732,0.582,0.56,6.32E-01
GTF2F1,-0.29,6.14E-01,-1.214,0.578,0.56,6.33E-01
EP300,-7.097,1.00E+00,-1.004,0.781,0.561,6.35E-01
MBD1,-0.204,5.81E-01,-1.173,0.572,0.561,6.36E-01
ORC2,-0.425,6.65E-01,-0.715,0.553,0.562,6.36E-01
GRHL1,-0.598,7.25E-01,-0.455,0.544,0.563,6.39E-01
EBNA3,-0.662,7.46E-01,-0.405,0.541,0.563,6.39E-01
SIRT1,-1.746,9.60E-01,0.188,0.566,0.563,6.39E-01
NFYC,-0.301,6.18E-01,-0.874,0.559,0.564,6.42E-01
C11orf30,-0.677,7.51E-01,-0.567,0.552,0.565,6.43E-01
ATF7IP,-1.142,8.73E-01,-0.383,0.561,0.565,6.45E-01
ZNF429,-0.732,7.68E-01,-0.32,0.537,0.568,6.49E-01
MED12,-0.81,7.91E-01,-1.305,0.604,0.568,6.50E-01
LMO2,-1.724,9.58E-01,-0.612,0.599,0.568,6.51E-01
SMAD3,-2.633,9.96E-01,-0.624,0.625,0.568,6.51E-01
ZNF366,-0.428,6.66E-01,-1.117,0.573,0.568,6.51E-01
POLR2H,-0.405,6.57E-01,-0.887,0.56,0.57,6.54E-01
GATA6,-3.832,1.00E+00,-0.207,0.602,0.57,6.55E-01
ZNF682,-0.335,6.31E-01,-1.204,0.573,0.572,6.59E-01
FANCD2,-0.855,8.04E-01,-0.171,0.531,0.573,6.61E-01
FOXH1,-1.173,8.80E-01,-0.164,0.549,0.575,6.65E-01
ZNF134,-0.615,7.31E-01,-0.54,0.543,0.575,6.65E-01
RFX1,-1.558,9.40E-01,-0.716,0.594,0.576,6.67E-01
CREB3,-0.739,7.70E-01,-0.581,0.551,0.577,6.70E-01
TSHZ1,-0.572,7.16E-01,-1.016,0.57,0.58,6.76E-01
NELFE,-1.215,8.88E-01,-0.989,0.595,0.582,6.80E-01
TP53,-4.165,1.00E+00,-0.906,0.662,0.586,6.88E-01
PML,-1.472,9.30E-01,-1.29,0.626,0.587,6.91E-01
KLF3,-0.58,7.19E-01,-0.696,0.545,0.587,6.91E-01
CTNNB1,-0.881,8.11E-01,-0.277,0.53,0.587,6.91E-01
SMARCE1,-0.935,8.25E-01,-0.59,0.553,0.588,6.91E-01
TGIF2,-0.274,6.08E-01,-1.286,0.569,0.588,6.91E-01
ASCL2,-0.342,6.34E-01,-1.011,0.557,0.588,6.93E-01
WHSC1,-0.859,8.05E-01,-0.469,0.544,0.588,6.93E-01
ADNP,-0.57,7.16E-01,-0.815,0.555,0.588,6.93E-01
HDGF,-1.225,8.90E-01,-0.699,0.573,0.59,6.95E-01
JUND,-2.31,9.90E-01,-0.808,0.623,0.591,6.97E-01
INSM2,-0.41,6.59E-01,-1.261,0.571,0.591,6.98E-01
YAP1,-2.696,9.97E-01,-0.904,0.645,0.591,6.98E-01
ETV7,-0.475,6.83E-01,-0.821,0.551,0.591,6.98E-01
PAX6,-1.1,8.64E-01,-0.407,0.55,0.591,6.99E-01
RUNX1,-3.493,1.00E+00,-1.001,0.662,0.592,6.99E-01
PDX1,-1.204,8.86E-01,-0.384,0.552,0.592,7.01E-01
EBNA2,-0.741,7.71E-01,-0.479,0.537,0.593,7.02E-01
PHOX2B,-1.05,8.53E-01,-0.074,0.519,0.597,7.10E-01
MKL1,-0.338,6.32E-01,-1.104,0.557,0.597,7.11E-01
ZFAT,-0.897,8.15E-01,-0.348,0.529,0.598,7.12E-01
MED1,-2.568,9.95E-01,-1.413,0.702,0.601,7.17E-01
CREBBP,-1.92,9.73E-01,-1.699,0.682,0.604,7.23E-01
ARNT,-1.057,8.55E-01,-1.367,0.597,0.604,7.24E-01
NFATC1,-0.53,7.02E-01,-1.474,0.578,0.604,7.24E-01
SOX2,-3.276,1.00E+00,-0.194,0.579,0.605,7.27E-01
MEF2B,-1.986,9.77E-01,-0.288,0.567,0.608,7.31E-01
KLF10,-0.613,7.30E-01,-1.089,0.563,0.608,7.32E-01
NFAT5,-0.449,6.73E-01,-1.007,0.552,0.609,7.33E-01
ZNF382,-1.777,9.62E-01,-0.657,0.583,0.609,7.34E-01
KRAB,-1.121,8.69E-01,-0.791,0.565,0.61,7.36E-01
ZNF175,-1.643,9.50E-01,-0.599,0.571,0.61,7.36E-01
PAX3,-1.064,8.56E-01,-0.218,0.518,0.611,7.38E-01
NR2F2,-2.227,9.87E-01,-1.077,0.629,0.614,7.43E-01
LMO1,-0.548,7.08E-01,-0.905,0.547,0.614,7.43E-01
NIPBL,-1.123,8.69E-01,-1.652,0.609,0.614,7.44E-01
ZNF580,-0.388,6.51E-01,-1.29,0.56,0.617,7.48E-01
ZMIZ1,-0.554,7.10E-01,-1.246,0.564,0.617,7.49E-01
ZNF793,-1.256,8.95E-01,-0.291,0.535,0.618,7.51E-01
ZNF346,-0.269,6.06E-01,-1.572,0.565,0.619,7.53E-01
ELK3,-0.34,6.33E-01,-1.28,0.557,0.619,7.53E-01
HLTF,-0.747,7.72E-01,-1.044,0.56,0.622,7.59E-01
ZNF573,-0.976,8.36E-01,-0.44,0.524,0.624,7.63E-01
ATF3,-1.69,9.54E-01,-1.809,0.645,0.626,7.66E-01
MAFG,-1.22,8.89E-01,-0.346,0.532,0.626,7.66E-01
HIRA,-2.02,9.78E-01,-0.877,0.598,0.627,7.68E-01
SIRT6,-0.797,7.87E-01,-0.692,0.534,0.627,7.68E-01
ARNT2,-0.489,6.88E-01,-1.113,0.55,0.627,7.68E-01
SMAD4,-1.878,9.70E-01,-1.309,0.624,0.629,7.70E-01
LDB1,-1.008,8.43E-01,-0.432,0.522,0.629,7.71E-01
SMARCC2,-0.585,7.21E-01,-1.14,0.554,0.63,7.73E-01
SRCAP,-1.045,8.52E-01,-0.413,0.52,0.63,7.73E-01
ZNF320,-1.463,9.28E-01,-0.385,0.54,0.632,7.77E-01
NFE2L1,-1.74,9.59E-01,-0.267,0.55,0.633,7.78E-01
CSDE1,-1.476,9.30E-01,-1.206,0.591,0.633,7.79E-01
MTA2,-1.293,9.02E-01,-0.947,0.57,0.634,7.81E-01
SETX,-0.306,6.20E-01,-1.522,0.558,0.635,7.82E-01
NEUROD1,-1.863,9.69E-01,-0.639,0.57,0.637,7.85E-01
MEF2D,-1.081,8.60E-01,-0.648,0.537,0.638,7.86E-01
PRMT1,-1.11,8.67E-01,-0.67,0.543,0.638,7.86E-01
MNT,-1.13,8.71E-01,-1.17,0.574,0.639,7.88E-01
FXR2,-0.639,7.39E-01,-0.982,0.542,0.639,7.89E-01
POU5F1,-3.869,1.00E+00,-0.458,0.581,0.64,7.90E-01
ZNF121,-0.89,8.13E-01,-1.458,0.575,0.642,7.93E-01
E2F2,-0.701,7.59E-01,-0.932,0.539,0.642,7.94E-01
MIER1,-0.755,7.75E-01,-0.984,0.548,0.642,7.94E-01
CREB3L4,-0.768,7.79E-01,-0.808,0.536,0.643,7.95E-01
SPDEF,-1.064,8.56E-01,-1.383,0.578,0.644,7.97E-01
E2F8,-0.571,7.16E-01,-1.156,0.545,0.645,7.99E-01
ZBTB7B,-0.594,7.24E-01,-1.129,0.545,0.647,8.02E-01
MLLT1,-1.676,9.53E-01,-1.9,0.627,0.647,8.02E-01
PRMT5,-0.854,8.04E-01,-0.766,0.531,0.647,8.03E-01
ZNF518A,-0.521,6.99E-01,-1.445,0.557,0.649,8.06E-01
SIX5,-0.992,8.39E-01,-1.14,0.56,0.652,8.10E-01
HMBOX1,-0.787,7.84E-01,-0.856,0.535,0.652,8.10E-01
NFIC,-1.086,8.61E-01,-1.5,0.579,0.653,8.12E-01
BCLAF1,-0.598,7.25E-01,-1.607,0.563,0.654,8.14E-01
SUMO1,-2.998,9.99E-01,-0.809,0.594,0.654,8.14E-01
WWTR1,-1.249,8.94E-01,-0.589,0.533,0.654,8.14E-01
ZNF765,-1.098,8.64E-01,-0.49,0.516,0.655,8.15E-01
MBOAT4,-0.496,6.90E-01,-1.32,0.55,0.655,8.15E-01
STAT3,-2.188,9.86E-01,-1.274,0.614,0.656,8.16E-01
RB1,-1.288,9.01E-01,-1.438,0.586,0.657,8.18E-01
RAD51,-1.447,9.26E-01,-0.936,0.564,0.657,8.18E-01
