TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
CTNNB1,1.017,1.55E-01,1.789,0.538,0.249,6.96E-02
SSU72,1.078,1.41E-01,1.652,0.543,0.249,6.96E-02
ZNF554,0.853,1.97E-01,2.403,0.527,0.25,7.05E-02
ZNF506,0.89,1.87E-01,2.234,0.529,0.251,7.08E-02
RB1,1.955,2.53E-02,0.502,0.567,0.251,7.11E-02
ZNF48,0.814,2.08E-01,2.663,0.524,0.252,7.20E-02
ZMYM3,1.359,8.72E-02,1.07,0.548,0.255,7.42E-02
H2AZ,4.759,9.71E-07,-0.305,0.583,0.256,7.51E-02
IRF5,0.874,1.91E-01,2.204,0.528,0.256,7.55E-02
ZNF207,0.599,2.75E-01,2.231,0.544,0.257,7.67E-02
BCOR,1.269,1.02E-01,0.734,0.571,0.259,7.80E-02
BATF3,1.122,1.31E-01,1.359,0.546,0.259,7.84E-02
ILK,0.937,1.75E-01,2.126,0.525,0.261,8.03E-02
MYF5,0.927,1.77E-01,1.878,0.532,0.264,8.27E-02
PBX3,0.824,2.05E-01,1.25,0.572,0.265,8.37E-02
MAZ,1.964,2.48E-02,0.152,0.576,0.265,8.40E-02
ZNF486,0.846,1.99E-01,2.569,0.516,0.266,8.47E-02
PMEL,0.911,1.81E-01,0.448,0.635,0.267,8.61E-02
ZNF138,0.83,2.03E-01,2.213,0.525,0.267,8.61E-02
EBNA2,0.978,1.64E-01,1.623,0.536,0.269,8.71E-02
LHX2,0.44,3.30E-01,1.238,0.626,0.27,8.82E-02
POLR3A,0.91,1.81E-01,1.496,0.546,0.27,8.82E-02
IRF1,1.528,6.33E-02,0.662,0.55,0.271,8.96E-02
CDK2,1.003,1.58E-01,2.107,0.518,0.272,9.03E-02
BCL11A,0.826,2.05E-01,1.498,0.549,0.272,9.07E-02
ZNF382,0.976,1.65E-01,1.851,0.527,0.272,9.07E-02
CEBPG,0.892,1.86E-01,1.633,0.537,0.274,9.29E-02
GTF3C2,1.241,1.07E-01,1.341,0.53,0.277,9.54E-02
DRAP1,1.099,1.36E-01,1.187,0.544,0.278,9.69E-02
BRD9,1.214,1.12E-01,1.339,0.528,0.283,1.02E-01
ZNF479,0.836,2.02E-01,1.92,0.525,0.283,1.02E-01
ICE2,0.958,1.69E-01,1.501,0.534,0.283,1.02E-01
MTA2,1.305,9.59E-02,1.373,0.522,0.285,1.05E-01
ZEB2,1.472,7.06E-02,1.534,0.514,0.288,1.07E-01
FOXA2,0.816,2.07E-01,1.154,0.56,0.288,1.08E-01
UBE2I,0.857,1.96E-01,1.777,0.527,0.289,1.09E-01
ZNF788,0.847,1.98E-01,2.482,0.51,0.29,1.10E-01
SMARCA5,0.696,2.43E-01,1.523,0.547,0.291,1.11E-01
PRDM2,1.256,1.05E-01,0.941,0.536,0.291,1.11E-01
SMAD4,0.462,3.22E-01,0.696,0.672,0.293,1.13E-01
SPIB,1.002,1.58E-01,1.568,0.524,0.293,1.13E-01
HOTAIR,1.108,1.34E-01,1.869,0.514,0.293,1.14E-01
E2F6,1.518,6.46E-02,0.075,0.568,0.294,1.14E-01
KDM1A,0.537,2.96E-01,1.01,0.591,0.294,1.14E-01
PHIP,2.205,1.37E-02,-0.357,0.571,0.294,1.15E-01
EMX1,1.517,6.46E-02,0.578,0.542,0.295,1.16E-01
HSF1,1.057,1.45E-01,0.125,0.598,0.296,1.17E-01
ZNF282,1.528,6.32E-02,0.368,0.548,0.297,1.17E-01
