TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
TGIF2,0.637,2.62E-01,0.07,0.48,0.404,2.92E-01
ZNF26,0.212,4.16E-01,1.591,0.467,0.405,2.95E-01
ZNF138,0.256,3.99E-01,1.378,0.468,0.406,2.96E-01
TRIM24,0.044,4.83E-01,0.142,0.505,0.407,2.97E-01
TRRAP,0.549,2.92E-01,0.077,0.481,0.407,2.98E-01
SS18,0.282,3.89E-01,-0.055,0.497,0.407,2.98E-01
HDGF,0.099,4.61E-01,0.362,0.492,0.409,3.02E-01
HDAC2,0.277,3.91E-01,-0.951,0.521,0.409,3.03E-01
PHIP,0.711,2.39E-01,-1.518,0.519,0.41,3.04E-01
ZNF8,0.001,5.00E-01,0.999,0.481,0.411,3.06E-01
ZNF35,0.388,3.49E-01,0.619,0.474,0.411,3.06E-01
DPF1,0.347,3.64E-01,0.915,0.471,0.412,3.09E-01
HMBOX1,0.292,3.85E-01,1.011,0.47,0.414,3.12E-01
CBX2,0.455,3.25E-01,0.225,0.478,0.415,3.14E-01
GRHL2,-0.035,5.14E-01,0.985,0.482,0.415,3.15E-01
ZNF585B,0.136,4.46E-01,1.506,0.467,0.415,3.15E-01
ZNF16,-0.039,5.15E-01,0.931,0.484,0.416,3.15E-01
HLTF,0.403,3.44E-01,0.336,0.476,0.416,3.16E-01
SPDEF,0.169,4.33E-01,0.228,0.49,0.417,3.18E-01
ZMYND8,0.343,3.66E-01,-0.754,0.508,0.417,3.18E-01
CBX6,0.408,3.42E-01,0.036,0.484,0.417,3.18E-01
FOXO1,-0.613,7.30E-01,0.09,0.547,0.418,3.21E-01
HAND2,0.222,4.12E-01,1.314,0.467,0.418,3.21E-01
ZNF558,0.304,3.81E-01,0.689,0.473,0.42,3.24E-01
SRCAP,0.184,4.27E-01,1.447,0.465,0.423,3.30E-01
CTBP1,0.299,3.82E-01,0.755,0.471,0.423,3.32E-01
SPIB,0.034,4.86E-01,0.917,0.475,0.431,3.49E-01
SIRT6,0.25,4.01E-01,0.904,0.468,0.432,3.50E-01
ZNF320,0.102,4.59E-01,1.107,0.468,0.434,3.53E-01
ZNF766,0.209,4.17E-01,0.909,0.469,0.434,3.54E-01
USF2,0,5.00E-01,-0.666,0.516,0.436,3.58E-01
PYGO2,0.185,4.27E-01,1.067,0.467,0.436,3.59E-01
NCAPG,-0.13,5.52E-01,0.618,0.484,0.436,3.59E-01
ZNF366,0.283,3.89E-01,0.289,0.475,0.437,3.62E-01
SIX1,0.185,4.27E-01,0.826,0.471,0.438,3.62E-01
BRD7,0.426,3.35E-01,-0.011,0.476,0.44,3.68E-01
ZNF425,0.241,4.05E-01,0.708,0.468,0.442,3.72E-01
PROX1,-0.262,6.03E-01,-0.058,0.51,0.443,3.72E-01
ZNF440,0.072,4.72E-01,1.469,0.46,0.444,3.76E-01
MNT,0.102,4.60E-01,0.074,0.484,0.445,3.77E-01
GTF2F1,0.091,4.64E-01,-0.817,0.508,0.445,3.77E-01
MTA3,-0.202,5.80E-01,0.303,0.491,0.448,3.84E-01
ATF2,-0.411,6.59E-01,-0.259,0.518,0.449,3.87E-01
GATA1,-0.767,7.79E-01,0.588,0.511,0.45,3.88E-01
ZNF770,0.201,4.21E-01,0.743,0.466,0.453,3.94E-01
ZNF479,0.205,4.19E-01,0.63,0.466,0.455,4.00E-01
ZNF823,0.065,4.74E-01,1.313,0.46,0.456,4.02E-01
HSF1,0.033,4.87E-01,-0.936,0.509,0.457,4.03E-01
GTF3C2,0.306,3.80E-01,-0.327,0.48,0.457,4.03E-01
GABP,0.28,3.90E-01,-0.42,0.483,0.457,4.04E-01
BANF1,-0.024,5.10E-01,0.532,0.475,0.459,4.08E-01
EGR3,0.224,4.11E-01,0.417,0.467,0.46,4.11E-01
NOTCH3,-0.032,5.13E-01,1.643,0.455,0.461,4.13E-01
TRIM22,0.298,3.83E-01,0.125,0.47,0.463,4.17E-01
HDAC8,0.264,3.96E-01,0.199,0.47,0.464,4.19E-01
PGR,0.145,4.42E-01,0.764,0.464,0.464,4.19E-01
DDX5,-0.172,5.68E-01,-0.009,0.492,0.464,4.20E-01
ZNF84,0.084,4.67E-01,0.987,0.461,0.465,4.21E-01
ZNF664,0.171,4.32E-01,0.58,0.465,0.466,4.24E-01
ZNF429,0.037,4.85E-01,1.221,0.459,0.466,4.24E-01
HIC1,0.359,3.60E-01,-0.167,0.472,0.469,4.30E-01
TSHZ1,0.191,4.24E-01,0.403,0.466,0.47,4.32E-01
ZNF134,0.071,4.72E-01,0.936,0.46,0.472,4.37E-01
MEF2D,0.105,4.58E-01,0.723,0.461,0.473,4.39E-01
ZNF623,0.187,4.26E-01,0.369,0.466,0.473,4.40E-01
JMJD1C,0.089,4.65E-01,0.071,0.474,0.476,4.46E-01
CHD8,-0.53,7.02E-01,-0.268,0.511,0.476,4.47E-01
ZNF765,-0.045,5.18E-01,1.392,0.455,0.477,4.49E-01
E2F6,0.097,4.61E-01,-1.24,0.505,0.479,4.52E-01
CBX8,-0.108,5.43E-01,-1.353,0.52,0.479,4.52E-01
ZNF641,0.204,4.19E-01,0.299,0.464,0.479,4.53E-01
PRDM2,0.351,3.63E-01,-0.272,0.471,0.479,4.53E-01
KLF4,-0.46,6.77E-01,-0.009,0.498,0.48,4.54E-01
AR,-1.762,9.61E-01,1.122,0.513,0.483,4.62E-01
MTA2,-0.003,5.01E-01,0.205,0.473,0.483,4.63E-01
NR4A1,0.03,4.88E-01,0.451,0.466,0.484,4.64E-01
CCDC101,0.188,4.26E-01,-0.219,0.473,0.484,4.64E-01
KLF5,-0.582,7.20E-01,-0.533,0.52,0.484,4.65E-01
FEZF1,0.046,4.82E-01,0.484,0.464,0.484,4.65E-01
IKZF2,0.2,4.21E-01,0.055,0.468,0.486,4.69E-01
MECP2,0.091,4.64E-01,-0.973,0.491,0.487,4.72E-01
INTS3,0.228,4.10E-01,0.01,0.467,0.487,4.72E-01
ZNF101,-0.001,5.00E-01,0.407,0.467,0.487,4.72E-01
STAT4,-0.575,7.18E-01,0.134,0.495,0.488,4.73E-01
EMX1,0.199,4.21E-01,-1.034,0.488,0.488,4.73E-01
E2F8,0.229,4.09E-01,-0.021,0.467,0.489,4.74E-01
LEF1,-0.506,6.94E-01,-0.965,0.523,0.49,4.77E-01
ZNF182,0.072,4.71E-01,0.523,0.46,0.491,4.81E-01
H2AZ,0.054,4.79E-01,-2.419,0.546,0.492,4.82E-01
MCM7,-0.181,5.72E-01,0.928,0.462,0.494,4.86E-01
ZFP37,0.404,3.43E-01,-0.748,0.471,0.494,4.86E-01
SMN1,-0.102,5.41E-01,1.317,0.452,0.495,4.89E-01
WDHD1,0.156,4.38E-01,0.176,0.464,0.495,4.90E-01
RFX5,-0.454,6.75E-01,-1.23,0.525,0.499,4.98E-01
ZNF280D,0.163,4.35E-01,-0.065,0.467,0.499,4.99E-01
ZNF141,0.019,4.93E-01,0.612,0.458,0.499,4.99E-01
OSR2,0.011,4.95E-01,0.4,0.461,0.502,5.04E-01
ZNF414,0.352,3.62E-01,-0.697,0.47,0.503,5.06E-01
ADNP,0.108,4.57E-01,0.1,0.464,0.504,5.08E-01
ETS2,-0.247,5.97E-01,0.067,0.476,0.504,5.09E-01
ESRRA,-0.073,5.29E-01,-0.192,0.476,0.504,5.10E-01
ZNF837,-0.07,5.28E-01,0.345,0.466,0.504,5.10E-01
ZFP64,-0.481,6.85E-01,-0.226,0.492,0.505,5.11E-01
PPARG,-1.378,9.16E-01,-0.284,0.539,0.508,5.18E-01
HINFP,-0.09,5.36E-01,-0.321,0.476,0.51,5.22E-01
ZNF518A,0.229,4.09E-01,-0.371,0.466,0.51,5.23E-01
SNAI2,-0.499,6.91E-01,-0.027,0.486,0.512,5.27E-01
MYC,-0.842,8.00E-01,-1.067,0.535,0.512,5.28E-01
HDAC3,-0.461,6.78E-01,0.449,0.472,0.514,5.32E-01
NEUROG2,-0.378,6.47E-01,0.46,0.468,0.514,5.32E-01
MEF2B,-1.201,8.85E-01,0.051,0.513,0.515,5.33E-01
CNOT3,0.008,4.97E-01,-0.289,0.471,0.515,5.34E-01
PRDM10,0.201,4.21E-01,-0.264,0.464,0.516,5.36E-01
PAX6,-0.559,7.12E-01,0.374,0.476,0.516,5.36E-01
ZBTB42,0.033,4.87E-01,0.228,0.459,0.517,5.39E-01
CHD5,-0.024,5.10E-01,0.437,0.456,0.518,5.40E-01
PBX2,-0.242,5.96E-01,0.164,0.469,0.519,5.42E-01
SP7,0.238,4.06E-01,-0.466,0.466,0.519,5.43E-01
ATF1,-0.529,7.02E-01,-0.861,0.503,0.52,5.45E-01
MEN1,0.122,4.51E-01,-0.255,0.464,0.522,5.50E-01
ZNF202,-0.411,6.59E-01,-0.141,0.478,0.523,5.53E-01
YBX3,-0.042,5.17E-01,0.129,0.463,0.524,5.53E-01
CHD2,-0.175,5.70E-01,-1.434,0.5,0.524,5.54E-01
ZNF239,-0.041,5.17E-01,0.344,0.456,0.524,5.54E-01
COPS2,0.095,4.62E-01,-0.21,0.461,0.527,5.61E-01
BRD3,-0.698,7.57E-01,-1.473,0.531,0.528,5.62E-01
ZNF394,0.253,4.00E-01,-0.776,0.466,0.529,5.65E-01
ZNF48,-0.255,6.01E-01,1.205,0.444,0.529,5.65E-01
HBP1,0.104,4.59E-01,-0.841,0.47,0.532,5.73E-01
KDM1A,-0.679,7.51E-01,-0.012,0.483,0.535,5.78E-01
PR,-1.919,9.73E-01,0.565,0.504,0.536,5.81E-01
ZNF740,-0.569,7.15E-01,-1.132,0.506,0.537,5.83E-01
ZNF169,-0.196,5.78E-01,0.76,0.447,0.538,5.86E-01
CEBPA,-1.111,8.67E-01,-0.435,0.512,0.539,5.88E-01
LANA,-0.361,6.41E-01,-1.597,0.509,0.54,5.89E-01
MEIS1,-0.446,6.72E-01,0.358,0.464,0.541,5.91E-01
LYL1,-0.885,8.12E-01,0.21,0.481,0.542,5.94E-01
ETV7,0.026,4.90E-01,-0.153,0.458,0.544,5.97E-01
BATF3,-0.068,5.27E-01,0.207,0.454,0.544,5.98E-01
XBP1,-0.868,8.07E-01,-0.598,0.501,0.544,5.99E-01
ZSCAN23,0.044,4.82E-01,-0.279,0.459,0.546,6.02E-01
PLRG1,-0.454,6.75E-01,1.251,0.444,0.546,6.02E-01
RELA,-2.852,9.98E-01,-0.963,0.589,0.547,6.04E-01
REST,-2.51,9.94E-01,0.744,0.498,0.547,6.04E-01
RFX1,-0.508,6.94E-01,0.25,0.467,0.547,6.04E-01
ZFP28,-0.371,6.45E-01,0.943,0.446,0.547,6.04E-01
ARNTL,-0.885,8.12E-01,-0.884,0.507,0.549,6.10E-01
ZNF28,-0.051,5.20E-01,0.093,0.455,0.549,6.10E-01
PRDM14,-0.099,5.39E-01,0.222,0.452,0.55,6.11E-01
TRIM25,-0.144,5.57E-01,-0.85,0.473,0.55,6.11E-01
ZNF304,-0.258,6.02E-01,0.799,0.444,0.551,6.13E-01
APOBEC3B,-0.081,5.32E-01,0.141,0.453,0.552,6.15E-01
ID3,-0.009,5.04E-01,-0.252,0.457,0.553,6.18E-01
BRCA1,-0.964,8.33E-01,-1.174,0.515,0.556,6.24E-01
POLR3A,-0.46,6.77E-01,-0.421,0.475,0.556,6.24E-01
ZNF528,0.055,4.78E-01,-0.569,0.459,0.559,6.30E-01
CTBP2,-0.585,7.21E-01,-1.191,0.497,0.559,6.31E-01
NFRKB,-0.052,5.21E-01,-0.253,0.457,0.56,6.34E-01
MYNN,-0.452,6.74E-01,-0.396,0.472,0.562,6.36E-01
MYCN,-0.606,7.28E-01,-1.224,0.496,0.563,6.39E-01
WT1,-0.018,5.07E-01,-0.634,0.462,0.563,6.39E-01
IRF1,-1.222,8.89E-01,-1.114,0.52,0.564,6.43E-01
SPI1,-2.716,9.97E-01,-0.435,0.53,0.565,6.43E-01
FOXD2,0.043,4.83E-01,-0.671,0.459,0.565,6.45E-01
CENPT,-0.435,6.68E-01,1.076,0.434,0.566,6.46E-01
NEUROD1,-1.172,8.80E-01,-0.088,0.489,0.567,6.47E-01
E2F5,-0.011,5.05E-01,-0.532,0.46,0.567,6.47E-01
ZNF287,-0.434,6.68E-01,1.033,0.434,0.567,6.48E-01
