TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
SOX9,-0.668,7.48E-01,-1.518,0.443,0.657,8.19E-01
ZNF391,-0.545,7.07E-01,-1.512,0.435,0.658,8.20E-01
ZSCAN23,-0.503,6.92E-01,-1.07,0.414,0.659,8.21E-01
PIAS1,-1.806,9.65E-01,0.657,0.42,0.659,8.21E-01
ZNF48,-0.836,7.99E-01,0.411,0.366,0.659,8.21E-01
ING5,-0.53,7.02E-01,-0.662,0.397,0.659,8.22E-01
BCL3,-4.043,1.00E+00,-1.774,0.519,0.663,8.28E-01
ZNF44,-0.398,6.55E-01,-1.114,0.407,0.663,8.28E-01
ZNF280A,-0.807,7.90E-01,0.198,0.369,0.665,8.30E-01
GABPA,-3.894,1.00E+00,-2.179,0.545,0.667,8.34E-01
HLTF,-0.625,7.34E-01,-0.898,0.409,0.667,8.34E-01
ZNF143,-2.81,9.98E-01,-2.014,0.523,0.67,8.38E-01
TERF2,-0.549,7.08E-01,-0.724,0.395,0.67,8.38E-01
NFE2,-1.319,9.06E-01,-1.008,0.454,0.672,8.41E-01
HMG20A,-0.659,7.45E-01,-0.489,0.385,0.672,8.42E-01
WDR5,-1.438,9.25E-01,-2.251,0.508,0.675,8.45E-01
ZNF808,-0.905,8.17E-01,0.425,0.358,0.675,8.45E-01
POU2F1,-0.909,8.18E-01,0.416,0.357,0.676,8.47E-01
LEF1,-1.252,8.95E-01,-1.706,0.473,0.677,8.48E-01
CBFB,-1.39,9.18E-01,-2.398,0.51,0.679,8.51E-01
ZNF574,-0.355,6.39E-01,-1.581,0.41,0.68,8.52E-01
ZNF264,-0.94,8.27E-01,-1.01,0.429,0.68,8.52E-01
WHSC1,-0.827,7.96E-01,-0.429,0.392,0.683,8.56E-01
ERG,-3.486,1.00E+00,-2.616,0.55,0.684,8.58E-01
ZNF486,-1.253,8.95E-01,0.637,0.368,0.684,8.59E-01
PAX5,-1.31,9.05E-01,-0.707,0.434,0.685,8.60E-01
ZNF675,-0.85,8.02E-01,-0.045,0.364,0.689,8.65E-01
KLF9,-1.388,9.18E-01,-2.216,0.495,0.69,8.66E-01
ZSCAN29,-0.728,7.67E-01,-1.265,0.414,0.691,8.67E-01
ZNF586,-1.019,8.46E-01,0.47,0.341,0.691,8.67E-01
ELF1,-1.819,9.66E-01,-2.176,0.505,0.692,8.68E-01
ID3,-0.661,7.46E-01,-1.176,0.404,0.692,8.68E-01
MYC,-7.49,1.00E+00,-2.313,0.534,0.692,8.69E-01
ZNF136,-0.995,8.40E-01,0.375,0.345,0.693,8.69E-01
SIX4,-0.986,8.38E-01,0.315,0.347,0.693,8.70E-01
RBPJ,-1.716,9.57E-01,-1.742,0.481,0.693,8.70E-01
TBP,-1.104,8.65E-01,-2.122,0.474,0.694,8.71E-01
CTBP1,-1.014,8.45E-01,-0.612,0.407,0.695,8.72E-01
BTAF1,-0.629,7.35E-01,-1.075,0.388,0.696,8.73E-01
ZNF287,-0.99,8.39E-01,0.289,0.346,0.696,8.74E-01
ZNF597,-0.691,7.55E-01,-0.795,0.382,0.697,8.75E-01
PRAME,-0.492,6.89E-01,-1.47,0.4,0.698,8.76E-01
ZNF304,-0.873,8.09E-01,-0.132,0.361,0.7,8.79E-01
LMO1,-0.654,7.43E-01,-1.082,0.385,0.701,8.80E-01
FOXK1,-1.136,8.72E-01,-0.338,0.402,0.701,8.80E-01
CCDC101,-0.928,8.23E-01,-1.189,0.418,0.702,8.81E-01
ZNF8,-1.211,8.87E-01,-0.589,0.413,0.703,8.83E-01
MNT,-1.029,8.48E-01,-1.068,0.418,0.704,8.84E-01
CSDE1,-1.084,8.61E-01,-0.852,0.414,0.706,8.86E-01
MEF2C,-0.571,7.16E-01,-1.417,0.393,0.707,8.87E-01
ASH2L,-1.017,8.45E-01,-0.317,0.382,0.707,8.87E-01
SIN3A,-1.834,9.67E-01,-2.171,0.496,0.708,8.88E-01
BCLAF1,-0.74,7.70E-01,-1.845,0.427,0.709,8.89E-01
SP3,-0.481,6.85E-01,-2.017,0.418,0.711,8.91E-01
BARX1,-0.669,7.48E-01,-1.14,0.384,0.711,8.91E-01
ZNF239,-0.932,8.24E-01,-0.822,0.397,0.712,8.93E-01
ZNF786,-0.392,6.52E-01,-1.981,0.407,0.714,8.94E-01
ZNF519,-0.424,6.64E-01,-1.912,0.405,0.715,8.95E-01
HJURP,-0.878,8.10E-01,-0.456,0.361,0.716,8.97E-01
FGFR1,-0.838,7.99E-01,-2.001,0.437,0.716,8.97E-01
ZNF837,-1.003,8.42E-01,-0.777,0.396,0.716,8.97E-01
AEBP2,-1.14,8.73E-01,-0.315,0.382,0.719,9.01E-01
NFKB1,-1.007,8.43E-01,-1.089,0.407,0.72,9.02E-01
ZNF274,-1.496,9.33E-01,0.16,0.373,0.72,9.02E-01
BRD2,-2.529,9.94E-01,-2.309,0.502,0.721,9.02E-01
ZFP41,-1.267,8.97E-01,0.047,0.366,0.721,9.02E-01
POU2F2,-1.015,8.45E-01,-1.448,0.419,0.721,9.03E-01
