TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ETS1,-5.729,1.00E+00,-2.751,0.43,0.863,9.89E-01
STAT5,-2.469,9.93E-01,-1.617,0.353,0.864,9.89E-01
NRF1,-4.214,1.00E+00,-2.07,0.408,0.865,9.89E-01
CDK9,-4.209,1.00E+00,-2.819,0.429,0.865,9.89E-01
EPC1,-1.812,9.65E-01,-1.579,0.3,0.865,9.89E-01
THAP11,-1.071,8.58E-01,-2.187,0.328,0.865,9.89E-01
KLF12,-1.005,8.43E-01,-2.353,0.334,0.866,9.89E-01
TET1,-1.057,8.55E-01,-2.234,0.329,0.866,9.89E-01
KDM4C,-0.92,8.21E-01,-2.642,0.342,0.868,9.90E-01
RBPJ,-2.309,9.90E-01,-2.201,0.397,0.869,9.90E-01
ORC1,-1.209,8.87E-01,-2.033,0.31,0.87,9.90E-01
TCOF1,-1.04,8.51E-01,-2.34,0.331,0.87,9.90E-01
NFAT5,-1.358,9.13E-01,-1.848,0.288,0.871,9.90E-01
E2F7,-2.452,9.93E-01,-1.586,0.336,0.871,9.90E-01
NFYC,-1.373,9.15E-01,-1.806,0.285,0.872,9.91E-01
CHD1,-3.577,1.00E+00,-2.472,0.415,0.874,9.91E-01
SUPT5H,-2.722,9.97E-01,-2.101,0.392,0.874,9.91E-01
DEAF1,-1.343,9.10E-01,-1.941,0.29,0.876,9.91E-01
NR0B1,-1.041,8.51E-01,-2.559,0.331,0.877,9.92E-01
SAP30,-2.163,9.85E-01,-2.207,0.385,0.878,9.92E-01
SNAPC1,-1.677,9.53E-01,-1.644,0.22,0.879,9.92E-01
ZNF75A,-1.499,9.33E-01,-1.784,0.266,0.88,9.92E-01
TDRD3,-1.445,9.26E-01,-1.851,0.274,0.881,9.92E-01
SIX5,-2.474,9.93E-01,-1.887,0.358,0.882,9.93E-01
GMEB1,-1.672,9.53E-01,-1.713,0.222,0.884,9.93E-01
CDK6,-1.073,8.58E-01,-2.6,0.328,0.884,9.93E-01
ELL2,-3.056,9.99E-01,-1.958,0.369,0.884,9.93E-01
CPSF3L,-2.219,9.87E-01,-2.164,0.371,0.886,9.93E-01
RBL2,-2.869,9.98E-01,-1.758,0.341,0.886,9.93E-01
KLF15,-3.344,1.00E+00,-3.216,0.413,0.887,9.94E-01
ZBTB11,-2.495,9.94E-01,-2.093,0.373,0.887,9.94E-01
ELF2,-1.673,9.53E-01,-1.768,0.222,0.889,9.94E-01
ZNF131,-1.656,9.51E-01,-1.779,0.228,0.889,9.94E-01
TAF3,-1.193,8.84E-01,-2.441,0.312,0.889,9.94E-01
TAFII,-1.777,9.62E-01,-1.972,0.317,0.891,9.94E-01
CD74,-2.647,9.96E-01,-1.584,0.276,0.891,9.94E-01
XCL1,-1.19,8.83E-01,-2.55,0.312,0.892,9.94E-01
ZSCAN22,-1.782,9.63E-01,-2.243,0.357,0.893,9.94E-01
GTF2E2,-1.39,9.18E-01,-2.086,0.282,0.894,9.95E-01
EMSY,-1.635,9.49E-01,-1.897,0.235,0.895,9.95E-01
PTPN11,-1.251,8.95E-01,-2.377,0.304,0.895,9.95E-01
MKL1,-1.288,9.01E-01,-2.317,0.298,0.898,9.95E-01
BCL3,-6.896,1.00E+00,-2.449,0.399,0.899,9.95E-01
HMGN1,-1.35,9.12E-01,-2.216,0.289,0.899,9.95E-01
ARID2,-1.384,9.17E-01,-2.667,0.342,0.901,9.96E-01
KAT5,-2.146,9.84E-01,-1.95,0.31,0.901,9.96E-01
NFATC1,-2.189,9.86E-01,-2.991,0.387,0.902,9.96E-01
ZNF711,-1.406,9.20E-01,-2.193,0.28,0.903,9.96E-01
ASH1L,-1.27,8.98E-01,-2.571,0.301,0.903,9.96E-01
ZIC2,-1.478,9.30E-01,-2.147,0.27,0.905,9.96E-01
KLF6,-1.228,8.90E-01,-2.926,0.308,0.906,9.96E-01
MCRS1,-1.344,9.11E-01,-2.417,0.29,0.906,9.96E-01
STAT5B,-2.979,9.99E-01,-2.276,0.367,0.907,9.96E-01
RBP2,-1.694,9.55E-01,-1.979,0.211,0.908,9.97E-01
DCP1A,-1.95,9.74E-01,-2.063,0.293,0.908,9.97E-01
AUTS2,-1.306,9.04E-01,-2.626,0.296,0.909,9.97E-01
CHD4,-2.089,9.82E-01,-2.293,0.342,0.91,9.97E-01
GLI2,-3.051,9.99E-01,-3.448,0.389,0.913,9.97E-01
GTF2B,-4.305,1.00E+00,-2.134,0.358,0.913,9.97E-01
BRD1,-1.317,9.06E-01,-2.847,0.294,0.915,9.97E-01
KAT7,-1.34,9.10E-01,-2.902,0.29,0.917,9.98E-01
ELK1,-3.419,1.00E+00,-2.051,0.34,0.918,9.98E-01
GMEB2,-2.319,9.90E-01,-1.968,0.25,0.92,9.98E-01
KDM5A,-3.207,9.99E-01,-1.893,0.256,0.922,9.98E-01
PMEL,-1.997,9.77E-01,-2.425,0.314,0.923,9.98E-01
REL,-1.809,9.65E-01,-2.777,0.334,0.923,9.98E-01
KMT2D,-4.196,1.00E+00,-2.288,0.349,0.928,9.98E-01
DDX21,-2.18,9.85E-01,-2.164,0.261,0.928,9.98E-01
MAFB,-1.714,9.57E-01,-2.271,0.195,0.929,9.98E-01
IRAK1,-1.412,9.21E-01,-2.997,0.279,0.93,9.99E-01
IRAK4,-1.463,9.28E-01,-2.83,0.272,0.93,9.99E-01
ELK4,-3.255,9.99E-01,-2.017,0.259,0.934,9.99E-01
U2AF1,-2.862,9.98E-01,-2.151,0.281,0.934,9.99E-01
FOXP3,-2.262,9.88E-01,-2.182,0.25,0.934,9.99E-01
ELK3,-1.591,9.44E-01,-2.683,0.248,0.935,9.99E-01
PHF8,-4.856,1.00E+00,-2.449,0.346,0.938,9.99E-01
SPIN1,-1.698,9.55E-01,-2.533,0.209,0.939,9.99E-01
KLF11,-2.182,9.86E-01,-3.648,0.338,0.939,9.99E-01
SMAD5,-2.357,9.91E-01,-2.195,0.23,0.94,9.99E-01
INTS12,-1.523,9.36E-01,-3.63,0.262,0.94,9.99E-01
POLR2B,-2.109,9.83E-01,-2.498,0.278,0.94,9.99E-01
BRPF3,-2.136,9.84E-01,-3.037,0.315,0.942,9.99E-01
SRSF3,-2.213,9.87E-01,-2.369,0.256,0.943,9.99E-01
NELFA,-5.043,1.00E+00,-2.129,0.28,0.944,9.99E-01
TRAF7,-2.633,9.96E-01,-3.93,0.318,0.953,1.00E+00
RPE,-3.143,9.99E-01,-2.684,0.286,0.958,1.00E+00
PHF2,-2.325,9.90E-01,-3.106,0.235,0.963,1.00E+00
