TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
THAP1,-1.242,8.93E-01,-2.509,0.239,0.865,9.89E-01
DEAF1,-1.493,9.32E-01,-2.078,0.171,0.867,9.89E-01
VEZF1,-1.674,9.53E-01,-2.118,0.253,0.867,9.89E-01
MORC2,-2.421,9.92E-01,-2.296,0.336,0.867,9.89E-01
ELF2,-1.692,9.55E-01,-1.783,0.096,0.867,9.89E-01
NFYC,-1.573,9.42E-01,-1.98,0.148,0.867,9.89E-01
RBCK1,-1.625,9.48E-01,-1.92,0.13,0.867,9.90E-01
SOX9,-1.595,9.45E-01,-2.511,0.314,0.868,9.90E-01
SIN3A,-3.411,1.00E+00,-2.974,0.39,0.869,9.90E-01
HBP1,-1.424,9.23E-01,-2.66,0.308,0.869,9.90E-01
EMSY,-1.658,9.51E-01,-1.915,0.116,0.871,9.90E-01
ZNF75A,-1.657,9.51E-01,-1.92,0.116,0.871,9.90E-01
HEY1,-1.386,9.17E-01,-2.694,0.298,0.872,9.91E-01
PTPN11,-1.332,9.09E-01,-2.468,0.216,0.872,9.91E-01
NPAT,-1.356,9.13E-01,-2.406,0.209,0.873,9.91E-01
NR0B1,-1.208,8.86E-01,-2.783,0.246,0.873,9.91E-01
BCL11B,-2.932,9.98E-01,-2.401,0.343,0.873,9.91E-01
PCGF1,-1.512,9.35E-01,-3.379,0.347,0.874,9.91E-01
POLR2B,-1.833,9.67E-01,-2.29,0.302,0.874,9.91E-01
MYCN,-3.075,9.99E-01,-2.517,0.353,0.876,9.91E-01
TDRD3,-1.609,9.46E-01,-2.005,0.135,0.876,9.91E-01
ELK4,-3.007,9.99E-01,-1.909,0.221,0.877,9.92E-01
ASXL1,-1.128,8.70E-01,-3.138,0.264,0.877,9.92E-01
KLF10,-2.006,9.78E-01,-2.12,0.236,0.879,9.92E-01
SP3,-1.349,9.11E-01,-3.076,0.307,0.879,9.92E-01
PHIP,-2.312,9.90E-01,-3.867,0.376,0.879,9.92E-01
ATOH1,-1.453,9.27E-01,-2.272,0.18,0.879,9.92E-01
