TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
MIER1,-0.507,6.94E-01,-0.651,0.364,0.617,7.48E-01
ZNF558,-0.474,6.82E-01,-0.708,0.361,0.619,7.52E-01
ZNF623,-0.43,6.67E-01,-0.815,0.363,0.62,7.55E-01
ZNF586,-0.798,7.88E-01,0.752,0.311,0.621,7.56E-01
ZNF318,-0.961,8.32E-01,-0.501,0.383,0.623,7.59E-01
SETDB1,-2.918,9.98E-01,-1.02,0.461,0.623,7.61E-01
YAP1,-1.546,9.39E-01,-0.334,0.406,0.624,7.63E-01
RAC3,-0.484,6.86E-01,-0.434,0.343,0.626,7.65E-01
JUN,-2.4,9.92E-01,-0.522,0.434,0.627,7.67E-01
ZKSCAN1,-0.871,8.08E-01,-0.547,0.375,0.629,7.70E-01
ZNF580,-0.341,6.34E-01,-1.214,0.368,0.629,7.70E-01
RBBP5,-1.305,9.04E-01,-2.05,0.484,0.629,7.72E-01
KLF9,-1.023,8.47E-01,-1.96,0.455,0.631,7.74E-01
ID3,-0.457,6.76E-01,-0.886,0.359,0.631,7.75E-01
ZNF239,-0.651,7.42E-01,-0.453,0.352,0.633,7.78E-01
CDK12,-0.288,6.13E-01,-1.326,0.362,0.635,7.82E-01
GRHL1,-0.542,7.06E-01,-0.389,0.338,0.636,7.83E-01
IRF9,-0.807,7.90E-01,0.04,0.339,0.637,7.86E-01
SETX,-0.267,6.05E-01,-1.445,0.364,0.638,7.87E-01
RELA,-4.412,1.00E+00,-1.367,0.475,0.64,7.90E-01
NELFE,-5.103,1.00E+00,-1.958,0.517,0.64,7.90E-01
DDX20,-0.92,8.21E-01,-0.332,0.356,0.641,7.91E-01
HDGF,-1.256,8.95E-01,-0.723,0.399,0.641,7.93E-01
NFE2,-1.535,9.38E-01,-1.187,0.433,0.642,7.94E-01
CBFB,-1.294,9.02E-01,-2.318,0.491,0.643,7.95E-01
MLLT3,-0.372,6.45E-01,-1.127,0.353,0.644,7.97E-01
GABPA,-3.752,1.00E+00,-2.13,0.534,0.645,7.98E-01
HMG20A,-0.574,7.17E-01,-0.399,0.335,0.645,7.98E-01
BRCA1,-2,9.77E-01,-1.871,0.482,0.645,7.99E-01
NCOR2,-0.714,7.62E-01,-0.68,0.356,0.646,8.00E-01
ZBTB26,-0.302,6.19E-01,-1.705,0.373,0.647,8.03E-01
CHD2,-0.981,8.37E-01,-2.399,0.463,0.65,8.06E-01
LEO1,-0.431,6.67E-01,-1.012,0.348,0.65,8.07E-01
YY1,-4.436,1.00E+00,-2.043,0.516,0.65,8.08E-01
ATF1,-1.597,9.45E-01,-1.503,0.442,0.652,8.10E-01
KMT2B,-0.566,7.14E-01,-0.583,0.336,0.653,8.12E-01
INO80,-1.484,9.31E-01,-1.705,0.445,0.653,8.12E-01
RAG2,-0.155,5.62E-01,-1.949,0.374,0.654,8.13E-01
XBP1,-1.29,9.02E-01,-1.11,0.407,0.655,8.16E-01
ZNF189,-0.257,6.02E-01,-1.806,0.365,0.657,8.18E-01
MEF2C,-0.422,6.63E-01,-1.179,0.348,0.658,8.20E-01
ERCC3,-0.533,7.03E-01,-0.776,0.339,0.658,8.20E-01
GABP,-0.623,7.33E-01,-1.494,0.382,0.659,8.22E-01
ZNF695,-0.334,6.31E-01,-1.562,0.357,0.66,8.23E-01
H3F3B,-0.818,7.93E-01,0.062,0.309,0.661,8.25E-01
CENPC,-0.974,8.35E-01,0.524,0.29,0.661,8.25E-01
ZNF264,-1.078,8.60E-01,-1.194,0.393,0.664,8.29E-01
RBPJ,-1.548,9.39E-01,-1.611,0.435,0.666,8.32E-01
BCLAF1,-0.692,7.55E-01,-1.763,0.391,0.666,8.33E-01
EP400,-0.441,6.70E-01,-1.221,0.347,0.666,8.33E-01
HBP1,-0.524,7.00E-01,-1.588,0.373,0.668,8.35E-01
ZNF597,-0.605,7.28E-01,-0.689,0.332,0.669,8.37E-01
SKI,-0.588,7.22E-01,-0.725,0.334,0.669,8.37E-01
WHSC1,-0.826,7.96E-01,-0.428,0.334,0.67,8.38E-01
ZNF792,-0.495,6.90E-01,-1.34,0.356,0.671,8.39E-01
BPTF,-0.322,6.26E-01,-1.786,0.358,0.672,8.41E-01
MYC,-7.314,1.00E+00,-2.28,0.521,0.672,8.41E-01
KLF5,-1.316,9.06E-01,-1.062,0.393,0.673,8.43E-01
C17orf49,-0.656,7.44E-01,-1.765,0.385,0.673,8.43E-01
KLF8,-0.394,6.53E-01,-1.938,0.378,0.673,8.43E-01
MBD3,-1.323,9.07E-01,-1.241,0.404,0.675,8.46E-01
ZNF441,-0.314,6.23E-01,-1.843,0.359,0.675,8.46E-01
TP53,-3.622,1.00E+00,-0.739,0.412,0.679,8.51E-01
MED1,-5.145,1.00E+00,-2.158,0.5,0.679,8.52E-01
LRWD1,-1.053,8.54E-01,0.42,0.28,0.681,8.54E-01
ZFX,-2.115,9.83E-01,-1.964,0.461,0.682,8.56E-01
ZNF281,-0.481,6.85E-01,-1.322,0.344,0.683,8.57E-01
TAF7,-1.865,9.69E-01,-1.841,0.445,0.684,8.58E-01
KLF15,-1.369,9.15E-01,-1.97,0.439,0.686,8.61E-01
ZNF24,-1.06,8.56E-01,-1.072,0.37,0.686,8.61E-01
E2F2,-0.641,7.39E-01,-0.844,0.328,0.686,8.61E-01
FOSL2,-7.836,1.00E+00,-1.11,0.429,0.687,8.62E-01
ING2,-0.346,6.35E-01,-1.854,0.356,0.687,8.62E-01
ZSCAN2,-0.799,7.88E-01,-0.483,0.311,0.687,8.62E-01
SETD1A,-0.343,6.34E-01,-2.074,0.375,0.688,8.63E-01
MED12,-0.744,7.72E-01,-1.227,0.355,0.688,8.63E-01
