TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZNF284,0.989,1.61E-01,2.8,0.522,0.259,7.80E-02
ZNF28,1.171,1.21E-01,2.05,0.536,0.259,7.80E-02
DPF2,1.273,1.02E-01,2.538,0.517,0.26,7.90E-02
ZNF429,0.961,1.68E-01,3.071,0.52,0.261,8.00E-02
ZNF134,0.97,1.66E-01,2.87,0.521,0.262,8.13E-02
KMT2B,1.208,1.14E-01,1.806,0.539,0.263,8.17E-02
DPPA2,1.068,1.43E-01,2.378,0.528,0.264,8.27E-02
JUND,1.318,9.37E-02,1.161,0.553,0.264,8.30E-02
ZNF486,1.098,1.36E-01,2.8,0.516,0.264,8.30E-02
PRDM2,1.572,5.80E-02,1.364,0.536,0.265,8.33E-02
NR2F1,1.436,7.55E-02,2.088,0.522,0.265,8.40E-02
BCAT1,1.299,9.70E-02,2.185,0.523,0.266,8.44E-02
ZNF479,1.062,1.44E-01,2.381,0.527,0.266,8.47E-02
ZNF765,0.937,1.74E-01,3.147,0.519,0.266,8.47E-02
SMAD4,1.229,1.10E-01,1.353,0.548,0.267,8.61E-02
FOXO3,0.947,1.72E-01,2.288,0.532,0.268,8.64E-02
PYGO2,1.227,1.10E-01,2.22,0.523,0.269,8.75E-02
USP49,0.915,1.80E-01,3.174,0.517,0.272,9.07E-02
ZNF445,1.083,1.40E-01,2.172,0.529,0.274,9.21E-02
MAZ,1.995,2.30E-02,0.182,0.557,0.274,9.25E-02
BCOR,1.161,1.23E-01,0.572,0.588,0.274,9.29E-02
HIC1,1.394,8.16E-02,1.789,0.527,0.275,9.36E-02
PRDM10,1.37,8.54E-02,2.043,0.521,0.275,9.40E-02
ZNF623,1.237,1.08E-01,2.383,0.516,0.276,9.47E-02
NFIA,1.11,1.34E-01,2.029,0.529,0.282,1.01E-01
CHAMP1,1.352,8.81E-02,1.888,0.522,0.282,1.01E-01
ZNF22,0.991,1.61E-01,2.379,0.522,0.282,1.01E-01
KLF17,1.538,6.20E-02,1.311,0.532,0.283,1.02E-01
ADNP,1.388,8.26E-02,1.827,0.522,0.283,1.02E-01
SUMO2,1.045,1.48E-01,1.937,0.533,0.283,1.02E-01
PR,0.735,2.31E-01,1.29,0.571,0.286,1.05E-01
ZNF641,1.336,9.07E-02,1.799,0.524,0.288,1.07E-01
WHSC1,1.252,1.05E-01,2.195,0.515,0.288,1.07E-01
FANCD2,0.971,1.66E-01,2.372,0.521,0.289,1.08E-01
IRF9,1.193,1.16E-01,2.186,0.518,0.29,1.10E-01
SP4,1.625,5.21E-02,0.812,0.539,0.29,1.10E-01
GLIS2,1.654,4.91E-02,0.678,0.541,0.291,1.11E-01
HIRA,0.837,2.01E-01,1.319,0.558,0.292,1.12E-01
ZNF17,0.893,1.86E-01,2.687,0.516,0.293,1.13E-01
SP7,1.351,8.83E-02,1.822,0.52,0.293,1.14E-01
EMX1,1.779,3.76E-02,0.899,0.532,0.293,1.14E-01
TAL1,1.074,1.41E-01,1.277,0.545,0.295,1.16E-01
ING5,0.852,1.97E-01,2.773,0.513,0.297,1.18E-01
ICE1,1.357,8.74E-02,1.754,0.52,0.299,1.20E-01
ZSCAN16,1.086,1.39E-01,2.484,0.51,0.299,1.21E-01
PRMT5,1.18,1.19E-01,1.318,0.536,0.301,1.23E-01
ZNF366,1.121,1.31E-01,1.946,0.521,0.303,1.25E-01
BIRA,0.445,3.28E-01,1.56,0.564,0.303,1.25E-01
ZNF549,0.827,2.04E-01,2.765,0.512,0.303,1.26E-01
LRWD1,0.833,2.03E-01,2.732,0.512,0.304,1.27E-01
SMAD1,0.466,3.21E-01,1.118,0.592,0.304,1.27E-01
ZNF239,1.237,1.08E-01,2.019,0.515,0.305,1.28E-01
HLTF,1.308,9.54E-02,1.423,0.525,0.306,1.29E-01
ZNF8,0.589,2.78E-01,1.769,0.546,0.307,1.30E-01
SP1,1.357,8.74E-02,-0.212,0.571,0.308,1.32E-01
ZNF534,1.1,1.36E-01,1.562,0.53,0.308,1.32E-01
TEAD1-TEAD4,1.076,1.41E-01,1.702,0.528,0.308,1.32E-01
ZNF362,1.159,1.23E-01,2.168,0.511,0.31,1.33E-01
ZNF341,1.701,4.45E-02,0.954,0.525,0.312,1.37E-01
CHD5,1.023,1.53E-01,1.82,0.525,0.312,1.37E-01
DNMT1,1.219,1.11E-01,1.754,0.521,0.312,1.37E-01
LMNA,0.931,1.76E-01,1.957,0.524,0.313,1.39E-01
ZNF425,0.924,1.78E-01,2.222,0.518,0.313,1.39E-01
ZFP2,1.278,1.01E-01,1.218,0.53,0.313,1.39E-01
PKNOX1,1.071,1.42E-01,2.212,0.511,0.314,1.40E-01
EP300,0.399,3.45E-01,0.645,0.719,0.315,1.41E-01
DRAP1,1.147,1.26E-01,1.268,0.534,0.316,1.42E-01
ZNF257,1.048,1.47E-01,1.692,0.526,0.316,1.43E-01
ZNF394,1.259,1.04E-01,1.441,0.522,0.318,1.45E-01
ZNF335,1.501,6.66E-02,0.978,0.528,0.318,1.45E-01
WT1,1.227,1.10E-01,1.667,0.52,0.318,1.45E-01
AHR,1.175,1.20E-01,2.115,0.509,0.319,1.46E-01
PAX3,0.947,1.72E-01,2.102,0.519,0.319,1.46E-01
NFATC3,0.967,1.67E-01,1.995,0.521,0.319,1.46E-01
MAFK,0.586,2.79E-01,1.289,0.555,0.32,1.47E-01
